name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
New York,2024-04-27,15,7.9,10.8,15,6.5,10.5,1.8,55.9,0.306,100,8.33,rain,0,0,35.5,25.2,193.4,1032.3,45.3,15.9,235.5,20.3,9,10,2024-04-27T05:59:11,2024-04-27T19:48:44,0.63,"Rain, Partially cloudy",Becoming cloudy in the afternoon with late afternoon rain.,rain,"KLGA,KJRB,F1417,KNYC"
New York,2024-04-28,22.3,10,16,22.3,7.8,15.7,9.2,65.2,10.5,36,50,rain,0,0,24.5,15.8,187.2,1022.1,63.7,16.2,253.5,22.1,7,10,2024-04-28T05:57:51,2024-04-28T19:49:46,0.67,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
New York,2024-04-29,24.5,14.5,18.7,24.5,14.5,18.7,12.2,67,5.1,17,8.33,rain,0,0,20.5,14.8,220.6,1015.8,44.5,14.3,293.5,25.6,8,10,2024-04-29T05:56:33,2024-04-29T19:50:49,0.7,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
New York,2024-04-30,21.2,13.9,16.8,21.2,13.9,16.8,10.9,69,4,40,12.5,rain,0,0,29.5,20.2,104.2,1015.3,67.5,15.7,158.3,13.7,4,10,2024-04-30T05:55:15,2024-04-30T19:51:51,0.74,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
New York,2024-05-01,18.6,12.9,15.1,18.6,12.9,15.1,10.2,73,0.2,41,4.17,rain,0,0,27.7,18,81.7,1015.4,72,23.3,71.4,6.1,2,10,2024-05-01T05:53:59,2024-05-01T19:52:54,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
New York,2024-05-02,19.1,12,15.1,19.1,12,15.1,8.9,67.2,0.4,9,4.17,rain,0,0,29.2,20.2,150.8,1021.4,36.4,24.1,327.5,28.3,8,10,2024-05-02T05:52:43,2024-05-02T19:53:56,0.81,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
New York,2024-05-03,20.3,12.8,16.3,20.3,12.8,16.3,10.1,67.3,5.8,37,20.83,rain,0,0,32.4,21.6,173.8,1018.3,56.7,24.1,307.6,26.6,7,10,2024-05-03T05:51:29,2024-05-03T19:54:58,0.84,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
New York,2024-05-04,19,14.9,16.8,19,14.9,16.8,11,69.2,5.7,37,29.17,rain,0,0,30.6,20.5,168.6,1011.9,72.1,24.1,204.9,17.6,6,10,2024-05-04T05:50:17,2024-05-04T19:55:59,0.88,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
New York,2024-05-05,21,12.7,16.4,21,12.7,16.4,5,50.7,1.7,33,4.17,rain,0,0,36.4,25.2,334.5,1018.5,34.1,24.1,324.4,28,9,10,2024-05-05T05:49:05,2024-05-05T19:57:01,0.91,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
New York,2024-05-06,21.7,11.3,16.2,21.7,11.3,16.2,2.6,41.8,0,32.3,0,,0,0,32,20.5,324,1017.7,38.3,24.1,322.9,27.8,9,10,2024-05-06T05:47:55,2024-05-06T19:58:02,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
New York,2024-05-07,21,11.6,16,21,11.6,16,1.8,39.6,0,35.5,0,,0,0,29.5,17.6,343.9,1014.8,32.4,24.1,323.3,27.9,9,10,2024-05-07T05:46:47,2024-05-07T19:59:03,0,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,
New York,2024-05-08,18.9,12.7,15.4,18.9,12.7,15.4,2.5,42.7,0.1,35.5,4.17,rain,0,0,26.3,20.5,112.6,1016.3,57,24.1,322.4,28.1,9,10,2024-05-08T05:45:39,2024-05-08T20:00:04,0.02,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
New York,2024-05-09,14.7,10.4,11.9,14.7,10.4,11.9,6.4,69.3,0.8,29,4.17,rain,0,0,42.5,27.4,119.9,1017.1,86.1,23.3,173.4,15.1,7,10,2024-05-09T05:44:34,2024-05-09T20:01:04,0.05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
New York,2024-05-10,13.4,9.9,11.5,13.4,7.6,11.4,10.4,93.2,2.3,25.8,8.33,rain,0,0,49,24.5,91.2,1005.7,96.6,11.4,11.4,0.9,0,10,2024-05-10T05:43:29,2024-05-10T20:02:04,0.08,Overcast,Cloudy skies throughout the day.,cloudy,
New York,2024-05-11,15.1,8.4,12.1,15.1,6.9,11.6,7,71.8,0.1,22.6,4.17,rain,0,0,31.7,21.6,279.8,1004,59.5,24.1,170.5,14.7,6,10,2024-05-11T05:42:26,2024-05-11T20:03:04,0.11,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
